               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068494,             0.02704,                   0,             0.41405,             0.84384,             0.41681,             0.23478,            0.027512,            0.013204,                   0,            0.070229,           0.0033079,           0.0033079
                   1,             0.04275,            0.016627,                   0,             0.49402,             0.83672,             0.53568,             0.22634,            0.025204,           0.0096464,                   0,            0.040098,           0.0065097,           0.0065097
                   2,            0.039165,            0.014377,                   0,             0.93645,             0.95387,             0.95542,             0.42872,            0.016953,           0.0084371,                   0,            0.009834,           0.0095796,           0.0095796
                   3,            0.036842,            0.013265,                   0,             0.93107,             0.92297,             0.93561,             0.57667,            0.019638,           0.0087559,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.033627,            0.012696,                   0,             0.95719,             0.95913,             0.95285,             0.66995,            0.012475,           0.0080122,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.029899,            0.012406,                   0,             0.95286,             0.96402,              0.9528,             0.70587,            0.012839,           0.0081478,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.027862,            0.012269,                   0,             0.94627,             0.96448,             0.95695,             0.75149,            0.011496,           0.0079971,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.027776,            0.012441,                   0,             0.94714,             0.96863,             0.95573,             0.73659,            0.011611,           0.0094739,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.026008,            0.011737,                   0,             0.94235,             0.96172,             0.95299,             0.64419,            0.011711,           0.0091283,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.027152,            0.011654,                   0,             0.95662,             0.97417,             0.96803,             0.73338,            0.011335,           0.0073605,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.024921,             0.01157,                   0,             0.95946,             0.97924,             0.96684,             0.79008,           0.0089449,           0.0081339,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.025926,            0.011312,                   0,             0.95903,             0.97186,             0.96629,             0.79791,           0.0086369,             0.00741,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023818,            0.011403,                   0,             0.95255,             0.97601,             0.96499,             0.78185,           0.0097625,           0.0071866,                   0,            0.007822,            0.007822,            0.007822
